LID,Smiles
1,S(=O)(=O)(N)c1ccc(cc1)C(=O)NCCOCCOCCNC(=O)[C@@H](N)Cc1ccccc1
2,c1cccc(c1)[C@@H](P(=O)(O)O)NCc1ccccc1
3,NCCCCCCNCCCCCCN
4,C(=O)(O)C(=O)Nc1ccc(cc1)CN
5,c1(ccc(cc1F)I)Nc1c(ccc(c1F)F)C(=O)NOC[C@@H](CO)O
6,O=C1[C@@H]2CCCN2C(=O)CN1
7,c1(c2ccccc2)ccc(C[C@H](C[C@H](C(=O)O)C)NC(=O)CCC(=O)O)cc1
8,OC(=O)CCC[C@H](O)[C@@H](/C=C/C=C/C=C/C/C=C\CCCCC)SC[C@@H](C(=O)NCC(=O)O)N
9,Oc1ccc(cc1)C(=O)N
10,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12
11,c1ccc2c(c1S(O)(O)O)cccc2N
12,c1c(ccc(c1)c1ccc(cc1)C(=O)O)F
13,CCCNC(=N)N=C(N)N
14,S(N)(O)(O)OC[C@]12[C@H]([C@H]3[C@@H](CO1)OS(O)(O)O3)OC(C)(C)O2
15,Clc1c(Oc2cc(C#N)cc(c2)Cl)cc(cc1)OCC1=NN=C2N=C(N)CC=C12
16,c1cccc2c(c3c(c4[C@H](C[C@@](Cc4c(c3c(c12)O)O)([C@H](CO)O)O)O[C@@H]1C[C@@H]([C@@H]([C@H](C)O1)O[C@H]1C[C@@H]([C@@H]([C@H](C)O1)O)N)O)O)O
17,CCCCCCCCO
18,CNCCCN1c2ccccc2C=Cc2c1cccc2
19,CC(=O)NCC(=O)N1[C@H]2CC[C@@H]1c(c23)ccc(c3)Nc(nc4)nc(c4C(F)(F)F)NC5CCC5
20,[C@H](C(=O)O)(Cc1ccccc1)[C@@H](C(=O)O)Cc1cc2OCOc2cc1
21,N1=C(N=C2[C@@H](C1=O)C(=CN2)CCc1ccc(cc1)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)N
22,Clc1c(OC)c(OC)c(OC)cc1Cc1nc2c(N)ncnc2n1CCCC#C
23,O=C(N)N/N=C/c1ccc(o1)N(=O)=O
24,NCCCNc1ccc(cc1N(=O)=O)C
25,c1cc(ccc1CN1CCCC1)N/C=C\1/c2cc(ccc2C(=O)NC1=O)Br
26,C(=O)(c1ccc(O)cc1)N[C@@H]1CN=CCC[C@H]1OC(=O)c1cc(O)c(c(O)c1)C(=O)c1c(O)cccc1C(=O)O
27,[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@@H]2O[C@@H]([C@H]([C@H]2OCCNCc2cnccc2)O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](O2)CN)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO
28,[C@H]12CC(=O)C[C@H](CC1)N2C
29,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)N)n1cnc2c(N)ncnc12
30,CC(C)C1=C(C(=O)C(=C(C1=O)Br)C)Br
31,[C@@H](Cc1ccccc1)(NC(=O)c1cc(c(c(c1)OC)OCc1ccccc1)OC)[C@H](CN(CCc1ccc2c(c1)OCO2)C(=O)CCN1C(=O)c2ccccc2C1=O)O
32,c1(c(c(c2c(c1Br)nc1n2CCN1C)Br)Br)Br
33,[nH]1c(=O)[nH]c(=O)cc1
34,c1cc(ccc1C(=O)NCc1ccccc1F)S(=O)(=O)N
